StartTime,label,background_flow_count,normal_flow_count,n_conn,n_dports>1024,n_dports<1024,n_sports>1024,n_sports<1024,avg_duration,n_s_a_p_address,n_s_b_p_address,n_s_c_p_address,n_s_na_p_address,n_d_a_p_address,n_d_b_p_address,n_d_c_p_address,n_d_na_p_address,n_tcp,n_icmp,n_udp
2011-08-10 09:47:38,Normal,144,0,144,2050277,16822,4334438,58605,1327.102887076389,58,69,17,0,20,122,2,0,14,2,128
2011-08-10 09:47:39,Normal,176,4,180,3246617,15151,4824758,7236,1509.4869351444443,70,93,17,0,43,129,8,0,29,7,144
2011-08-10 09:47:40,Normal,160,9,169,2282540,18636,5702838,38736,1157.1474262011836,76,80,13,0,26,141,2,0,24,4,141
2011-08-10 09:47:41,Normal,133,4,137,1771941,16830,4704318,16286,1275.0450240875914,63,61,13,0,15,121,1,0,19,4,113
2011-08-10 09:47:42,Normal,130,3,133,1737181,16254,4104843,12820,1268.7763824436088,63,58,12,0,12,117,4,0,13,4,115
2011-08-10 09:47:43,Normal,118,3,121,1323998,15807,3889237,7740,1333.295116123967,66,41,14,0,6,112,1,2,15,2,104
2011-08-10 09:47:44,Normal,122,0,122,1856046,3080,4151000,49047,1132.7954871885247,41,66,15,0,17,95,8,2,19,3,100
2011-08-10 09:47:45,Normal,144,0,144,1834612,17540,4613104,43162,1346.7594452916665,48,79,17,0,21,117,6,0,18,0,125
2011-08-10 09:47:46,Normal,105,3,108,1490294,16560,3474905,31784,1191.4722421574074,59,41,8,0,10,94,4,0,11,0,97
2011-08-10 09:47:47,Normal,137,0,137,1916202,16656,4336161,12697,1278.1950282554744,60,67,10,0,15,118,4,0,21,1,115
2011-08-10 09:47:48,Normal,206,0,206,2231710,9725,4648630,6636,1068.0159838398056,60,129,17,0,83,116,7,0,92,1,112
2011-08-10 09:47:49,Normal,152,3,155,1893541,5536,5079350,51823,1278.0994625032258,68,73,14,0,22,125,6,2,25,2,128
2011-08-10 09:47:50,Normal,131,0,131,1475242,4582,4466415,58271,1054.4610619923662,54,65,12,0,11,119,1,0,13,1,116
2011-08-10 09:47:51,Normal,187,1,188,3033735,3361,5448098,1017,1507.2287149468086,70,107,11,0,49,131,8,0,31,1,155
2011-08-10 09:47:52,Normal,259,6,265,2391655,42326,11620443,17784,777.6694832603773,52,204,9,0,74,177,14,0,74,5,183
2011-08-10 09:47:53,Normal,127,0,127,1751515,16845,3903839,17327,1354.8172226535432,57,57,13,0,16,109,2,0,12,2,113
2011-08-10 09:47:54,Normal,132,0,132,2014679,9404,3991207,54316,1274.534118121212,59,64,9,0,20,104,8,0,12,1,119
2011-08-10 09:47:55,Normal,165,3,168,1863953,18723,5922878,40200,1401.8905396428572,59,98,11,0,33,132,3,0,23,2,142
2011-08-10 09:47:56,Normal,199,0,199,4633072,2424,4504566,58116,1776.151590070352,50,137,12,0,71,109,19,0,14,4,181
2011-08-10 09:47:57,Normal,121,0,121,1477804,15563,4358009,15780,1286.241098570248,51,62,8,0,12,108,1,0,9,0,112
2011-08-10 09:47:58,Normal,150,3,153,2391565,2027,4421941,5648,1584.6468084901962,75,64,14,0,36,113,4,0,11,2,140
2011-08-10 09:47:59,Normal,159,0,159,2394921,17968,4629960,32977,1292.6332457484277,47,91,21,0,35,120,4,0,30,2,127
2011-08-10 09:48:00,Normal,162,0,162,2164083,4350,5230447,63077,827.8175230123458,53,99,10,0,32,115,13,2,31,5,126
2011-08-10 09:48:01,Normal,237,3,240,1992956,10469,9600772,50791,623.6927858625,68,160,12,0,42,170,26,2,59,2,179
2011-08-10 09:48:02,Normal,146,3,149,1667038,6416,5360974,57509,1158.1657910671142,49,92,8,0,25,115,9,0,18,1,130
2011-08-10 09:48:03,Normal,142,0,142,1539478,18296,4556871,36732,1318.070299971831,68,66,8,0,16,109,17,0,26,1,115
2011-08-10 09:48:04,Normal,109,3,112,1567580,15363,3764213,63026,1243.158993044643,51,48,13,0,18,90,4,0,16,1,95
2011-08-10 09:48:05,Normal,146,0,146,1567851,19641,5037864,11755,1226.0565346369863,50,84,12,0,23,114,9,0,16,1,129
2011-08-10 09:48:06,Normal,131,1,132,1737141,11000,4202538,4226,1203.8107262727272,69,55,8,0,17,108,7,0,21,3,107
2011-08-10 09:48:07,Normal,121,3,124,1323452,15554,4089474,46585,1209.0434203387097,56,55,13,0,5,118,1,0,13,1,108
2011-08-10 09:48:08,Normal,106,0,106,1460855,8654,3218790,52816,1535.488930839623,40,55,11,0,20,82,3,1,12,0,94
2011-08-10 09:48:09,Normal,158,4,162,2605854,28232,5115876,17218,1067.60480404321,59,88,15,0,39,118,5,0,12,5,145
2011-08-10 09:48:10,Normal,97,3,100,1375047,3509,3290265,46934,1116.68675985,51,39,10,0,7,91,2,0,11,1,88
2011-08-10 09:48:11,Normal,128,3,131,1515113,18067,4675733,62491,1157.7532041450381,55,60,16,0,16,111,4,0,16,1,114
2011-08-10 09:48:12,Normal,139,6,145,1800479,17285,4842372,36720,1102.412755027586,56,72,17,0,13,124,8,0,20,2,122
2011-08-10 09:48:13,Normal,106,3,109,1343713,16714,3586438,3421,1152.2437765412844,51,47,11,0,14,91,3,1,15,2,92
2011-08-10 09:48:14,Normal,117,0,117,2122689,42521,3546679,16119,1285.1823501709398,42,65,10,0,26,87,4,0,15,3,99
2011-08-10 09:48:15,Normal,138,0,138,1520855,16468,4744865,3018,1260.6609795507245,57,67,14,0,16,119,3,0,13,3,122
2011-08-10 09:48:16,Normal,151,3,154,1777731,18970,5209017,50806,1155.5369246753248,69,64,21,0,17,130,7,0,25,2,127
2011-08-10 09:48:17,Normal,121,0,121,1716260,15550,3878773,45391,1109.5718287272728,51,55,15,0,22,94,5,0,15,0,106
2011-08-10 09:48:18,Normal,123,0,123,2121215,39189,3724701,15645,1116.2542258617887,50,66,7,0,26,92,4,1,9,3,108
2011-08-10 09:48:19,Normal,148,3,151,2013350,2552,5189520,65923,1197.8190047814571,67,76,8,0,18,126,6,1,6,1,142
2011-08-10 09:48:20,Normal,128,0,128,1854681,38138,4294609,59580,1370.4677814375,54,64,10,0,20,102,4,2,6,1,118
2011-08-10 09:48:21,Normal,136,0,136,2095082,16501,3928146,50585,1133.3361639632353,60,68,8,0,31,100,5,0,15,3,118
2011-08-10 09:48:22,Normal,170,6,176,2493643,40750,5869503,2244,1233.7347684204547,65,100,11,0,28,139,9,0,15,5,155
2011-08-10 09:48:23,Normal,135,0,135,1866475,44827,4640284,59020,1098.770063525926,65,60,10,0,20,111,4,0,13,2,120
2011-08-10 09:48:24,Normal,152,1,153,2201114,3546,4962741,57156,1113.3511693921569,60,85,8,0,33,106,14,0,26,7,118
2011-08-10 09:48:25,Normal,149,3,152,1791882,6168,5356248,42227,871.0231860460526,53,89,10,0,37,103,12,0,24,4,123
2011-08-10 09:48:26,Normal,163,0,163,2073631,20579,6319368,61213,744.4018413742332,59,98,6,0,36,124,3,0,21,3,139
2011-08-10 09:48:27,Normal,163,0,163,2349066,17860,5712010,22266,1217.957114220859,70,86,7,0,36,123,4,0,16,2,145
2011-08-10 09:48:28,Normal,155,3,158,2581087,3399,4897365,43404,1121.7473266962024,62,88,8,0,37,114,7,0,20,3,135
2011-08-10 09:48:29,Normal,132,0,132,1816569,17297,4452018,33337,955.0808248409091,63,61,8,0,27,103,2,0,18,0,113
2011-08-10 09:48:30,Normal,171,0,171,2714067,62528,5272582,61348,1279.2447890994151,63,98,10,0,37,122,12,0,16,3,151
2011-08-10 09:48:31,Normal,147,3,150,1948073,16638,5371543,8193,1150.9755263666666,61,76,13,0,19,125,6,0,17,3,129
2011-08-10 09:48:32,Normal,181,3,184,2565651,16855,6276364,45584,972.0063640923913,68,107,9,0,31,151,2,0,10,8,166
2011-08-10 09:48:33,Normal,112,0,112,1799206,14753,3883057,36428,1286.760314401786,50,50,12,0,16,93,3,0,10,1,100
2011-08-10 09:48:34,Normal,106,3,109,1305568,16463,4009798,61456,1119.1530819082568,55,50,4,0,11,94,4,0,10,2,97
2011-08-10 09:48:35,Normal,136,0,136,1659472,18058,4729317,49484,1227.300188507353,62,65,9,0,14,122,0,0,8,4,122
2011-08-10 09:48:36,Normal,183,0,183,2137262,18583,6797004,52662,818.3118737923497,65,105,13,0,30,149,4,0,16,4,163
2011-08-10 09:48:37,Normal,154,3,157,1562008,7805,6014605,50839,999.4070242866242,46,91,20,0,28,119,10,0,29,2,125
2011-08-10 09:48:38,Normal,153,0,153,1897344,3547,5298053,62306,1033.2730208431374,62,76,15,0,22,125,6,0,17,0,136
2011-08-10 09:48:39,Normal,141,3,144,2145217,14929,4671798,17493,1155.1856165833333,74,56,14,0,24,117,3,0,17,5,121
2011-08-10 09:48:40,Normal,167,3,170,3091289,18138,4866273,46917,1490.5772846352943,52,108,10,0,44,112,14,0,20,2,147
2011-08-10 09:48:41,Normal,179,0,179,2882193,17122,5738428,25661,1275.9771303575421,57,116,6,0,36,127,16,0,15,4,160
2011-08-10 09:48:42,Normal,137,3,140,2385946,26436,3975352,59727,1415.35423935,50,79,11,0,34,100,6,0,8,3,128
2011-08-10 09:48:43,Normal,130,3,133,1566269,3373,5210879,40143,872.8482548345864,53,67,13,0,15,112,6,0,11,2,118
2011-08-10 09:48:44,Normal,148,0,148,1999342,3020,4644979,3921,1035.4339421486488,64,65,19,0,20,123,5,0,12,6,130
2011-08-10 09:48:45,Normal,133,0,133,2095990,9887,4800533,64002,1250.7044752105262,52,70,11,0,30,97,6,0,22,4,107
2011-08-10 09:48:46,Normal,140,3,143,1822718,15714,5355705,63430,1170.0377195454544,54,75,14,0,22,117,4,0,9,1,133
2011-08-10 09:48:47,Normal,123,0,123,1618780,16281,3474162,17795,1298.8573026341462,53,56,14,0,18,99,4,2,10,8,105
2011-08-10 09:48:48,Normal,121,0,121,1647504,16406,3939369,17539,1167.5165989338843,48,66,7,0,28,91,2,0,9,1,111
2011-08-10 09:48:49,Normal,132,3,135,2245224,16527,4224120,50405,1271.0993096740742,47,76,12,0,40,89,4,2,12,1,122
2011-08-10 09:48:50,Normal,130,0,130,1820936,15511,4159881,38474,1093.7092023076923,53,61,16,0,22,106,2,0,13,7,107
2011-08-10 09:48:51,Normal,179,0,179,1980664,20547,6529457,32839,773.8512718268157,55,108,16,0,23,145,11,0,14,6,159
2011-08-10 09:48:52,Normal,160,6,166,2621656,18451,5151852,25392,1226.782775319277,65,85,16,0,39,118,9,0,20,4,141
2011-08-10 09:48:53,Normal,169,0,169,2017130,27571,6320250,50243,785.6582999289941,53,103,13,0,46,121,2,0,33,5,130
2011-08-10 09:48:54,Normal,159,0,159,2604528,14700,4449582,29509,1313.5914779119498,61,81,17,0,37,115,7,0,7,11,140
2011-08-10 09:48:55,Normal,127,3,130,1815640,16725,4286682,10619,1108.2303255769232,47,74,9,0,24,105,1,0,6,1,123
2011-08-10 09:48:56,Normal,154,0,154,2045512,4518,4604996,4961,986.2897453701298,45,94,15,0,20,131,3,0,13,6,135
2011-08-10 09:48:57,Normal,120,0,120,1632553,15347,4209374,44758,904.2908414499999,53,57,10,0,14,104,2,0,7,3,109
2011-08-10 09:48:58,Normal,153,3,156,2577798,2983,5543199,53980,894.7279156858974,57,89,10,0,42,110,4,0,16,2,138
2011-08-10 09:48:59,Normal,110,0,110,1756221,14628,3684658,42863,1109.8170834272726,49,48,13,0,19,86,5,0,12,4,94
2011-08-10 09:49:00,Normal,249,0,249,1727457,21927,11192812,52805,491.54828843373497,49,187,13,0,21,223,5,0,14,0,235
2011-08-10 09:49:01,Normal,159,3,162,1751713,5265,5760409,3946,865.9131965864198,58,86,18,0,19,134,9,0,23,2,136
2011-08-10 09:49:02,Normal,134,3,137,1565525,17088,4309488,9854,832.4505717080292,56,69,12,0,11,122,4,0,9,2,125
2011-08-10 09:49:03,Normal,115,0,115,1285514,8013,4283320,13622,1049.6521721391302,53,49,13,0,8,103,4,0,4,1,110
2011-08-10 09:49:04,Normal,148,3,151,1986464,15939,5699866,22377,830.1687247880794,69,69,13,0,11,138,2,0,10,4,137
2011-08-10 09:49:05,Normal,134,0,134,1841232,17619,3511727,8553,1144.4603549179105,51,72,11,0,23,103,8,0,22,2,110
2011-08-10 09:49:06,Normal,122,0,122,1461252,17594,3779793,49125,1048.4263291967213,53,61,8,0,19,93,10,0,28,3,90
2011-08-10 09:49:07,Normal,150,3,153,1449942,18824,4610189,20538,909.3675347254903,45,97,11,0,40,110,3,0,34,3,116
2011-08-10 09:49:08,Normal,122,0,122,1412642,3957,3910347,34490,984.85752447541,40,71,11,0,12,106,4,0,9,3,110
2011-08-10 09:49:09,Normal,125,3,128,1663196,4947,4661709,51398,1096.279368625,47,73,8,0,16,108,4,0,13,3,111
2011-08-10 09:49:10,Normal,107,3,110,1179024,42092,4167732,16447,812.3326227363635,50,55,5,0,15,94,1,0,12,4,94
2011-08-10 09:49:11,Normal,146,0,146,2107501,16141,5003471,6351,1050.5636462945204,51,84,11,0,25,118,3,0,6,1,139
2011-08-10 09:49:12,Normal,178,3,181,1398180,20633,6810192,35175,670.39427920442,48,118,15,0,47,125,9,0,55,4,121
2011-08-10 09:49:13,Normal,146,3,149,1484222,4131,5372302,42255,885.1308427785235,57,87,5,0,16,133,0,0,7,3,139
2011-08-10 09:49:14,Normal,158,0,158,1759569,18290,4257570,3535,954.1275879113925,67,78,13,0,39,115,4,0,31,2,125
2011-08-10 09:49:15,Normal,147,0,147,2207007,16267,3648385,40298,944.7044046258504,52,80,15,0,27,118,2,0,15,5,127
2011-08-10 09:49:16,Normal,166,3,169,1744493,18527,4740772,54007,929.1519360236687,58,101,10,0,35,126,8,0,24,2,141
2011-08-10 09:49:17,Normal,229,3,232,3095705,22139,8010953,44217,785.5486161336207,43,172,17,0,88,126,18,0,54,2,175
2011-08-10 09:49:18,Normal,170,0,170,2069385,31462,6083986,60762,930.7616958529413,53,102,15,0,37,120,11,2,27,0,141
2011-08-10 09:49:19,Normal,253,3,256,3938886,21493,9351233,49822,728.7368339453126,52,191,13,0,82,153,20,1,37,2,215
2011-08-10 09:49:20,Normal,138,0,138,1629476,7852,4529188,15934,923.4649187463768,53,75,10,0,27,108,2,1,14,4,119
2011-08-10 09:49:21,Normal,124,0,124,2052977,15470,3868553,31425,1518.3245528467742,50,61,13,0,25,95,4,0,6,2,116
2011-08-10 09:49:22,Normal,152,6,158,1433459,18930,5727651,26895,720.0160027784812,48,102,8,0,22,122,13,1,28,3,126
2011-08-10 09:49:23,Normal,149,0,149,1875337,3777,5047857,52701,1253.6678003422817,65,68,16,0,13,129,7,0,5,2,139
2011-08-10 09:49:24,Normal,114,0,114,1687591,2881,3596242,57421,1007.1716363596493,54,46,14,0,12,99,3,0,11,0,101
2011-08-10 09:49:25,Normal,198,3,201,2899895,10923,6260140,14913,1011.172181119403,57,131,13,0,55,134,12,0,37,4,158
2011-08-10 09:49:26,Normal,179,0,179,1791648,19615,6057645,65835,805.1689007206704,49,120,10,0,40,135,4,0,29,3,146
2011-08-10 09:49:27,Normal,217,0,217,2456095,7821,7138554,46229,881.0284121013826,55,155,7,0,44,164,9,0,22,0,193
2011-08-10 09:49:28,Normal,143,3,146,1693600,16956,5135466,54264,859.0652884383562,63,72,11,0,16,124,6,0,13,3,130
2011-08-10 09:49:29,Normal,160,0,160,1848202,18319,5373835,41619,946.47174849375,56,94,10,0,39,112,9,0,24,2,133
2011-08-10 09:49:30,Normal,176,0,176,1902669,19616,6699864,64884,774.2289430170455,64,108,4,0,43,128,5,0,34,2,139
2011-08-10 09:49:31,Normal,171,3,174,1681412,6160,6617063,49453,860.8630694597701,72,90,12,0,22,145,7,0,17,1,155
2011-08-10 09:49:32,Normal,242,3,245,1662966,24897,10387097,11310,494.72104171020413,55,175,15,0,70,154,21,0,78,4,163
2011-08-10 09:49:33,Normal,122,0,122,1443239,16407,4531169,55711,748.4078082049182,37,71,14,0,17,101,4,0,10,2,108
2011-08-10 09:49:34,Normal,118,6,124,1441754,15452,4337143,58874,798.0417242741936,63,50,11,0,13,110,1,0,15,2,107
2011-08-10 09:49:35,Normal,168,0,168,1692126,5703,7068130,5724,542.3675203214285,37,123,8,0,26,123,19,0,29,1,138
2011-08-10 09:49:36,Normal,185,0,185,1788565,19596,7590559,62724,859.1475871135135,52,121,12,0,21,158,5,1,9,2,174
2011-08-10 09:49:37,Normal,194,3,197,3399654,17833,6377027,18258,986.0739476649746,63,121,13,0,41,151,5,0,13,8,175
2011-08-10 09:49:38,Normal,176,0,176,2303678,18199,5673896,50868,989.9812351647726,58,103,15,0,30,143,3,0,32,4,140
2011-08-10 09:49:39,Normal,134,3,137,2545336,9944,4245456,3036,1266.9922672627738,54,73,10,0,27,98,12,0,11,2,124
2011-08-10 09:49:40,Normal,132,3,135,1871775,15464,4630112,13528,1018.8808544148147,48,74,13,0,23,108,4,0,5,5,125
2011-08-10 09:49:41,Normal,116,0,116,1438382,5390,3963107,31393,1164.968239025862,56,51,9,0,11,103,2,0,6,4,106
2011-08-10 09:49:42,Normal,140,3,143,1754290,4127,5480305,45637,974.0064146293709,55,71,17,0,18,122,3,0,9,4,129
2011-08-10 09:49:43,Normal,123,3,126,1578630,16185,4368639,42102,980.866382079365,57,61,8,0,13,110,3,0,10,5,111
2011-08-10 09:49:44,Normal,149,0,149,2065523,17063,5296110,58130,1029.1684764966442,61,69,19,0,25,114,10,0,17,5,126
2011-08-10 09:49:45,Normal,131,0,131,2004062,52703,4784402,61132,798.2910554885495,48,76,7,0,28,99,4,0,16,3,112
2011-08-10 09:49:46,Normal,113,3,116,1869164,15026,3999806,4199,1257.2195186206898,55,49,12,0,18,96,2,0,6,5,104
2011-08-10 09:49:47,Normal,134,0,134,1661351,15741,4831893,56215,925.6189780746269,63,63,8,0,10,120,4,0,7,1,126
2011-08-10 09:49:48,Normal,147,0,147,1723913,9569,5609208,10610,789.0026464081633,58,76,13,0,24,119,4,0,19,3,125
2011-08-10 09:49:49,Normal,161,3,164,2392235,7558,5445793,35457,1099.8665397134146,46,109,9,0,61,97,6,0,28,1,131
2011-08-10 09:49:50,Normal,154,0,154,2652524,2340,4778348,65317,1155.576950896104,45,97,12,0,47,95,12,0,20,3,130
2011-08-10 09:49:51,Normal,154,0,154,1601710,7469,5780178,45342,970.1860273701299,64,82,8,0,25,118,11,0,32,2,120
2011-08-10 09:49:52,Normal,112,6,118,1439727,17667,4377395,40541,888.3001586355933,51,57,10,0,15,97,6,0,15,1,101
2011-08-10 09:49:53,Normal,115,0,115,1492612,16403,4364590,4802,916.2669802086957,44,64,7,0,31,78,6,0,20,2,93
2011-08-10 09:49:54,Normal,128,0,128,2221839,56310,3870848,13745,1280.0523096328125,36,85,7,0,32,88,8,0,5,1,121
2011-08-10 09:49:55,Normal,120,3,123,1812720,15550,3950804,13991,1058.4471323414634,59,46,18,0,14,106,3,0,6,5,112
2011-08-10 09:49:56,Normal,186,0,186,2244209,57129,6084492,59932,1001.6127983010753,59,114,13,0,52,128,6,0,41,2,141
2011-08-10 09:49:57,Normal,150,0,150,1670607,4579,4972846,59995,850.3570507933333,51,87,12,0,33,115,2,0,19,5,126
2011-08-10 09:49:58,Normal,178,3,181,2125622,18894,6408577,43268,950.9364866132598,54,109,18,0,40,134,7,0,19,2,158
2011-08-10 09:49:59,Normal,170,0,170,3102842,3365,4339033,47038,1225.4033273882353,53,103,14,0,45,117,8,0,14,5,148
2011-08-10 09:50:00,Normal,157,0,157,2007405,3708,5384586,37842,1085.177772464968,49,99,9,0,36,118,3,0,15,2,139
2011-08-10 09:50:01,Normal,170,3,173,1806260,5247,6421507,38451,680.8086643063584,47,113,13,0,23,145,5,0,14,2,157
2011-08-10 09:50:02,Normal,139,3,142,2360545,52488,4456114,2572,1031.0410183873241,64,70,8,0,23,114,5,0,9,4,127
2011-08-10 09:50:03,Normal,124,0,124,1348056,4134,4306811,41014,944.2210248629033,47,69,8,0,12,105,7,0,8,2,112
2011-08-10 09:50:04,Normal,125,3,128,2079128,16610,3827902,63849,1190.6958048046874,60,61,7,0,28,95,5,0,17,4,105
2011-08-10 09:50:05,Normal,148,1,149,1659593,12898,4684585,23654,886.8511571812079,49,92,8,0,35,108,6,0,30,1,116
2011-08-10 09:50:06,Normal,346,0,346,2090116,14405,13734353,5158,422.18744156936424,55,271,20,0,35,301,10,0,27,3,315
2011-08-10 09:50:07,Normal,160,3,163,2644840,16937,5374270,51574,945.5220640613497,46,103,14,0,33,124,6,0,10,3,146
2011-08-10 09:50:08,Normal,145,0,145,2237258,3296,4810449,36333,1140.3614630689656,53,79,13,0,28,113,4,0,8,2,132
2011-08-10 09:50:09,Normal,136,3,139,1722005,21358,3667388,8513,1220.3838143309351,52,80,7,0,30,99,10,0,19,2,115
2011-08-10 09:50:10,Normal,120,3,123,1944017,15522,3832506,3269,982.8785589105692,50,67,6,0,18,98,7,0,6,3,113
2011-08-10 09:50:11,Normal,126,0,126,1398472,3516,4507359,4677,768.5535553730159,55,59,12,0,8,112,6,0,9,7,110
2011-08-10 09:50:12,Normal,135,3,138,1289165,3397,4911646,52254,849.5207853043478,54,71,13,0,7,124,7,0,6,1,131
2011-08-10 09:50:13,Normal,103,3,106,1041253,25238,3749929,13374,932.4380095471697,49,51,6,0,7,94,5,0,4,1,101
2011-08-10 09:50:14,Normal,117,0,117,1688603,16565,3791396,40301,1103.7456676410256,48,58,11,0,19,94,4,0,8,3,103
